epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.781,3.91453,113.71,2.51691,1e-05,0.03846,1e-05,0,4.16894,298.471,2.68488,0.00026,0.00026,0.00026
2,397.815,3.20465,17.5451,2.06824,0.0001,0.07692,5e-05,1e-05,3.72211,4643.24,2.54645,0.00043308,0.00043308,0.00043308
3,650.542,3.67015,8.80157,2.29749,0.0001,0.07692,5e-05,1e-05,4.55341,32504.4,3.6291,0.00049528,0.00049528,0.00049528
4,875.445,3.06709,6.18752,1.89639,0.0001,0.07692,5e-05,1e-05,3.33667,13.2912,5.48495,0.0004466,0.0004466,0.0004466
5,1083.6,3.56511,5.66341,2.40634,0.00116,0.03846,0.00012,4e-05,3.31197,36.7165,2.62254,0.00028704,0.00028704,0.00028704
