epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.174,4.17851,115.659,2.71751,0.00786,0.03846,0.00076,0.00011,3.39664,379.48,2.2585,0.00026,0.00026,0.00026
2,402.561,2.91281,25.6884,1.77603,3e-05,0.15385,2e-05,1e-05,4.09426,340.067,2.60459,0.00043308,0.00043308,0.00043308
3,616.019,3.5308,9.95144,2.213,0.0188,0.03846,0.00307,0.00066,3.62791,309.374,2.379,0.00049528,0.00049528,0.00049528
4,827.145,3.33878,6.66038,1.93912,0.00012,0.11538,9e-05,3e-05,3.86777,16.3156,2.62133,0.0004466,0.0004466,0.0004466
5,1040.98,3.87067,5.33337,2.31233,0.00021,0.15385,0.00025,6e-05,3.40242,9.97261,2.03364,0.00028704,0.00028704,0.00028704
