epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.94,3.61824,97.8582,2.46025,0.00582,0.03846,0.00024,0.00012,3.28453,363.692,2.07599,0.00026,0.00026,0.00026
2,406.371,2.89028,20.1121,1.73468,0.00017,0.03846,3e-05,1e-05,3.82631,5603.47,3.05199,0.00043308,0.00043308,0.00043308
3,631.018,3.95985,8.22505,2.24732,6e-05,0.26923,4e-05,1e-05,4.15702,2096.21,4.15329,0.00049528,0.00049528,0.00049528
4,859.792,3.76276,6.3382,2.26784,0.00012,0.11538,7e-05,2e-05,3.65616,1102.87,2.70312,0.0004466,0.0004466,0.0004466
